epoch,accuracy,loss,val_accuracy,val_loss
0,0.7540000081062317,0.7781628370285034,0.8600000143051147,0.3362310528755188
1,0.8220000267028809,0.4122273623943329,0.8862500190734863,0.2895602881908417
2,0.8799999952316284,0.3065004050731659,0.9012500047683716,0.26558709144592285
3,0.9010000228881836,0.24155473709106445,0.9037500023841858,0.2674156725406647
4,0.9049999713897705,0.25632578134536743,0.8387500047683716,0.4645744562149048
5,0.9359999895095825,0.16862855851650238,0.9049999713897705,0.32164299488067627
6,0.9430000185966492,0.1524539440870285,0.9087499976158142,0.29954493045806885
7,0.9390000104904175,0.15350590646266937,0.8924999833106995,0.42199745774269104
8,0.9520000219345093,0.11675482988357544,0.8887500166893005,0.3864748775959015
9,0.9599999785423279,0.10561687499284744,0.887499988079071,0.473764032125473
